Header	Paragraphs
Pinning	"['Making Your Experience Stick', ""Imagine being a wizard in your own app kingdom, conjuring your most beloved content to the forefront of your realm. That’s what our Pinning feature is all about! Whether it's showcasing your persona in your Profile or keeping crucial convos at your fingertips in the Inbox, Pinning lets you highlight what matters most."", ""We've added Pinning to anywhere something can be Pinned. Here's where you can find the feature:"", 'Feed Comments: Spotlight the comments that spark joy.', 'Profile Galore:', 'Posts: Your golden thoughts, now front and center.', 'Creations: All your masterpieces, prominently displayed.', 'Showcase: Your personal hall of fame.', ""Want to show one of your posts at the top of your profile? No worries, we got you. Simply navigate to the post, then tap and hold the post and choose the Pin option. Your post will now be pinned to the top of your profile for all to see.  Want to unpin it? Follow the same steps, but choose 'unpin'!"", 'You can only use the pinning and unpinning feature from your own profile. If you happen to see your post in the regular feed, there will be no pinning option there.', ""Has someone left you a nice comment you'd like to give some love to? Pin it simply by tapping and holding the comment then choosing the Pin option. Do the same in reverse to unpin it!"", 'Fancy pinning some of your best work? No worries, you\'ll be able to pin Assets, Worlds, and Rooms you\'ve created to show off to everyone on Highrise. Simply click on the item you wish to pin, click on the ellipses icon ""•••” and choose the Pin option. That\'s it!', 'Profile: From your profile, you can just simply tap and hold to bring up the pinning option.', 'Showcase: In showcases, you can click hold down tap, and hold on any showcase to bring up the Unpin option. Simply click it to remove an item from your showcase.', '', ""After you pin an item, we'll give you a little message for confirmation and then add a pin icon  onto whatever is pinned to let you and any onlookers know."", '', '', ""You can't organize pins; whatever your most recent Pin is will show above all the rest and become king ."", '', 'Currently, you can pin up to 64 items. We hope this generous limit helps you flaunt your awesomeness to the fullest!']"
Deleting Items	"['Delete your items to earn bubbles!', ""Exciting news! We're introducing a new, easy-to-use Delete Feature for your items. Say goodbye to the old Pawn Shop method and hello to a straightforward way to manage your inventory right from the app. With just a few clicks, you can now remove items you no longer need and get rewarded with Bubbles in return."", 'The Delete Feature is seamlessly integrated into the app, making your experience smoother and more intuitive. Here’s a quick guide on how to use it:', 'Find the Delete Option: Head over to the “My Items” section of the app. You’ll notice a new layout with a shiny delete button waiting for you.', 'Press Delete: Tap and hold on to the item you want to delete, and then select the ""Delete Item"" option.', 'Confirm Your Action: Upon clicking delete, an alert will pop up to make sure you’re sure about letting go of the item. This alert will also tell you how many Bubbles you’ll get back.', 'Receive Bubbles: After you confirm the deletion, a toast notification will cheerfully inform you about the Bubbles added to your account, just like the Pawn Shop used to do.']"
Profile 4.0	"['Overview of all changes to your profile in 4.0!', 'Profile 4.0 is a complete overhaul of our user profile design. It showcases animated avatars and allows for a continuous, scrollable profile interface, making it more engaging and user-friendly.', 'Animated Avatars: Your avatar comes to life with subtle animations.', 'Customizable Backgrounds: Choose a background that reflects your personality.', 'Easy-to-Access Social Media Links: Connect your profile to your social media easily.', ""Improved 'Following and Followers' Interface: A revamped interface to see who you're connected with."", ""Enhanced 'Creations' Section: A dedicated space to showcase your creative work."", 'Pinning Feature: Highlight your favorite posts or creations directly on your profile.', 'Your avatar will now appear animated, giving your profile a dynamic and lively feel. It adds personality and a sense of presence to your profile.', 'Yes! Profile 4.0 allows you to customize your background, emphasizing your individuality. You can choose a background that best represents you.', ""The Main Profile Page displays your avatar behind your profile's content in a slide-up format. You can access various features like settings, closets, and social media links directly from here."", 'The Closet Camera feature has been enhanced with new functionalities like tap to rotate, pinch to zoom, and separate drawers for background colors and emotes.', 'Showcase replaces the Storefront, allowing you to display up to 50 items without additional cost. You can pin items from your profile screen or directly from the Showcase.']"
How Do I Change My Background?	"['Changing your background', ""Fancy a change? No worries, we've got you covered. To change your background, follow these simple steps:"", 'Navigate to your profile by clicking the profile icon in the bottom right-hand corner', ""Once you're on your profile, swipe your mini-profile down (you can also tap on the background behind your avatar)"", ""You'll now see the option 'Pose & Background' click it"", 'You can now select a new background color and also set the pose of your avatar', ""That's it! Have fun and get creative!""]"
What is Grab Swapping?	"['Learn the ins and outs of our Grab Swapping feature', ""The Grab Swapping feature allows you to exchange items you've won from a Grab for a chance to receive a different item from a rarity-based loot table. This gives you a second opportunity to potentially improve the value of your prizes and helps reduce duplicates in your inventory."", ""We've introduced a dedicated screen displaying explicit probabilities for winning each item within a Grab, not just on the Grab Swapping loot table, but all on all Grabs. This ensures transparency and helps you make informed decisions when participating in Grabs."", '', ""To swap an item, you'll need to select it for swapping. After holding the Swap button for 3 seconds, the swapping sequence begins. The item will spin and, upon tapping, will reveal the new item you've received in exchange."", '', 'Nope! You\'ll retain your progress. Completion and Progress rewards are based on the initial winnings. Rewards are given after pressing ""Got it,"" even if you swap the item later. So feel free to swap them if you want!', 'Items eligible for swapping will have a ""Swappable"" label on the banner of Grabs that include this feature. This label is visible both on the Grab screen and in the Store.', 'This new feature aims to enhance your experience by providing more flexibility and opportunities to improve your collection. Happy swapping!', '', ""You do not have to swap your items immediately after winning them. As long as the grab is up, you'll be able to swap your items from that grab. However, when the grab expires you will no longer be able to swap items from that grab.""]"
Outfit of the Day	"['Fancy showing off your outfit daily? Look no further!', ""Get ready to unleash your creativity with our new Outfit of the Day (OOTD) feature! This fun addition allows you to dive into a special closet filled with a random selection of items to style your avatar. Whether you're a new user or a long-time member, OOTD offers a fresh way to engage with daily goals, discover new items, and share your unique looks with the community."", 'You can find the OOTD feature under your Daily Goals. Look for a goal labeled ""Outfit of the Day"" and hit the ""Go"" button to start.', '', 'No, the special OOTD closet provides a unique selection of items that are not from your personal collection. This allows you to experiment with styles and pieces you might not own yet. Get creative and have a blast!', '', '', ""The looks you create with OOTD are just for fun and cannot be saved to your avatar or personal closet. However, you're encouraged to take a picture of your creation to share on social media or within our community."", 'Yes, completing the OOTD daily goal will grant you rewards. The type and amount of rewards can vary, so be sure to check the details when you participate.', ""After creating your look, you'll have the option to take a picture and share it on social media or on Highris. Use the daily hashtag to connect with others and see the outfits they've put together. Who knows, you might even get inspired!"", ""Since the outfit isn't saved to your profile or avatar, sharing it is a way to immortalize your creation. We encourage using the daily hashtag when posting so others can admire your style!"", 'Currently, the OOTD feature is designed as a daily goal, meaning you can participate once per day. This ensures every user has a unique and engaging experience each time.', 'The items are randomly selected to fit the day\'s theme, ensuring a wide variety of styles and possibilities. We also feature special hashtags and themes, like ""#ootd-goth-night"" or ""#ootd-pride"", to guide your creativity.', ""While the feature currently operates on pre-selected themes and items, we love hearing from our community! Feel free to share your suggestions and ideas for future OOTD themes or items you'd love to see included."", ""We're always looking to enhance your experience! Future updates may include integrating your own items into the OOTD closet, additional social sharing options, and even generating videos of your avatar getting styled. Stay tuned for more creative ways to play and share."", '', 'Have more questions or need help? Our support team is here to assist you. Dive into OOTD and start expressing your style today!']"
Directory 4.0	"['Welcome to Directory 4.0, a fresh way to navigate and discover worlds within our platform. This update brings a streamlined experience to find, follow, and interact with worlds and rooms, making it easier than ever to connect with content you love. Read on to learn more about this exciting new feature!', '', 'You can access Worlds and Rooms from the Directory, as well as from the Creations Tab in your profile. Worlds and Rooms are neatly categorized under different tabs for your convenience.', '', ""The “Beta” label indicates that the Worlds feature is in a testing phase. We're constantly looking to improve, and your feedback during this phase is invaluable!"", '', ""In the Directory, you'll first see Worlds you're following, followed by a Spotlight section featuring handpicked Worlds by our Live Ops team. The Spotlight section has infinite scrolling, allowing you to discover an endless array of popular and emerging Worlds."", '', 'Access the Worlds Search via the top right corner of the Worlds Directory. You can use suggested keywords for quick searches or type in your query for more specific results. Rooms and Worlds have separate tabs for easier navigation.', '', ""Tapping on a World opens up the World Slide Up, providing detailed information about the World, including user scores, total visits, and a brief description. It's a quick and convenient way to learn more about a World before joining."", '', 'Yes! You can follow Worlds to see their posts in your feed and under the ""Following"" section in the Directory. You can also like or dislike a World, but you cannot do both simultaneously.', '', 'World Stats give you a quick overview of a World’s popularity and engagement. Stats include the number of active users, user score percentage, total followers, total visits, and the creation date of the World.', '', 'Yes, tapping on the Followers count in the World Stats will open up the Followers Screen, showing you friends who are following the World first, followed by other users sorted by recency.', '', '\u200b']"
Social Media Links	"['Want to share your socials? Check it out!', 'Our latest feature, Social Media Links, lets you connect your Highrise profile with your social media accounts, opening up a world of digital connections. Share your social media links and discover the profiles of others within Highrise.', 'To add social media links:', 'Go to the Edit Profile screen.', 'Type in your username for the social media platforms you wish to link (e.g., Instagram, Snapchat, TikTok, X).', 'Our system automatically generates the URL to your profile based on the username you provide.', '', ""You can link profiles from X, Snapchat, Instagram, and TikTok. Just enter your username, and we'll handle the rest! We're looking to add Discord and other profiles in the future."", ""For safety reasons, users under the age of 17 cannot add social media links to their profiles. We encourage everyone to share responsibly and ensure they're comfortable with the content they're connecting to their Highrise account."", ""If you come across a social media link that you believe is inappropriate or potentially harmful, please report it immediately through our app. Select ‘Inappropriate social links’ as the reason when reporting the User's profile."", ""Given that some platforms like Twitter may allow content that's not suitable for all audiences (e.g., pornographic content), we urge users to exercise discretion when linking social media accounts. Remember, your links are visible to the Highrise community, so please consider the impact of the content you're sharing."", ""We implement measures to protect our users, but it's also important for you to stay vigilant. Before clicking on a social media link, please be aware that it will take you outside of Highrise, where different privacy and content policies apply. We provide an alert before redirecting as a reminder to proceed with caution."", '', '\u200b']"
Highrise+	"['Elevate your experience with our subscription for exclusive perks, monthly Gold, and unique customization options. Join the VIP experience!', '', 'Welcome to Highrise+, our exclusive subscription service designed to enhance your experience and bring more joy to your virtual life. Let’s walk through what Highrise+ has to offer and how it can add even more sparkle to your Highrise adventure.', ""Highrise+ is a monthly subscription that offers you a fabulous way to get more from Highrise. It's like your VIP pass to exclusive perks, including Gold bonuses, special features, and loads of fun extras that make your time in Highrise even more exciting."", 'Monthly Gold Bonus: Every month, you’ll get sent a gold stipend, giving you more freedom to explore, shop, and enjoy Highrise. The amount received depends on the tier of your subscription.', 'Extra Style Options: Enjoy five unique hair and eye colors as well as more outfit slots (100 slots, up from 36!) to express your unique style.', 'Exclusive Content: Get access to Highrise+ Profile Backgrounds, over 24 custom app icons, and an exclusive badge to showcase on your profile and mini-profile. If you prefer to go incognito, you can toggle the badge off in settings.', 'Savings on Gold Packs: Enjoy a 5% bonus on our standard Gold packs purchased in-game, making it easier to stock up on Gold!', 'Weekly Gifts: Subscribers receive exclusive weekly gifts based on their subscription tier. Here’s how it works:', 'Tier 1 Subscribers: Receive 1 gift per week, every Friday.', 'Tier 2 Subscribers: Receive 2 gifts per week, every Friday and Monday.', 'Tier 3 Subscribers: Receive 3 gifts per week, every Friday, Monday, and Wednesday.', '', 'There are currently three tiers of HR+', '', ' Tier 1: $4.99/1,050 Gold Monthly/1 Gift Per Week,', ' Tier 2: $9.99/2,200 Gold Monthly/2 Gifts Per Week', ' Tier 3: $19.99/4,600 Gold Monthly/3 Gifts per Week', 'The only difference between each tier is the amount of gold, the amount of weekly gifts, and the extra value associated with that gold. All base Highrise+ features are included in each tier.', 'Subscribing is easy! Just open the Highrise app and open the Cash Shop from anywhere in the app. From here, you will find the Highrise+ banner at the top, where you’ll find all the information about Highrise+. Tap ""Subscribe,"" follow the prompts, and voila – you\'re all set to enjoy the exclusive world of Highrise+!', ""You have full control over your subscription through your app store. To upgrade or downgrade, adjust your subscription options directly in the Highrise app, and we'll guide you through the process. If you decide to cancel, you can do so anytime through your app store’s subscription settings. Remember, the change will take effect at the end of your current billing cycle."", ""Highrise+ is designed to make your specific account shine with exclusive benefits. This means the perks are only available on the account where Highrise+ was purchased. If you're enjoying Highrise on multiple accounts and wish for each to have these benefits, you'll need to subscribe to Highrise+ for each account individually."", '', 'Note that you cannot tie an app store (Apple App Store or Google Play Store) account to multiple Highrise+ subscriptions. If you want to subscribe on another Highrise account you will need to use another platform account for payment.', 'If you are a member of the Highrise Creature Club (meaning that you own a Highrise NFT or Highrise LAND, then you will automatically receive HR+ as a perk! No need to subscribe manually!', ""If you've upgraded your subscription but didn't receive the full gold amount for your new subscription tier, please do not worry, this is intended. You'll receive a refund from the payment provider you used to originally subscribe for the remaining time left on your old subscription. When your new billing period begins, you'll receive the full amount of gold for your current tier."", '', 'We’re here for you! For more details or if you have any questions, feel free to visit our support center or reach out to our customer service team through the app.', '', 'Legal Notice:', 'Please be aware that features can change at any time. By tapping “Subscribe,” you agree to our Terms of Use and Privacy Policy. You consent to the immediate performance of the contract and acknowledge that, thereby, you lose your right of withdrawal. You will be charged on the agreed rate monthly, and your subscription will auto-renew until canceled. Cancel anytime through your app store. No partial refunds are given.', '']"
Inbox Calls	"['Voice chat directly from your inbox with Inbox Calls! Start private, group, or crew calls effortlessly, enhancing communication in Highrise.', '', ""Get ready to elevate your in-game communications with Inbox Calls, our brand-new feature that lets you voice chat right from the Inbox. Whether you're chatting 1:1, hanging out in a group, or coordinating with your crew, Inbox Calls seamlessly integrate into your Highrise experience."", '', '', '', '', 'Inbox Calls is a feature that allows you to initiate voice chats directly within Highrise, no matter where you are in the app. You can make private 1:1 calls, join group calls, or participate in crew voice chats.', '', 'Sorry, young Highrisers! Users under 18 cannot join or make calls. This is to keep everyone on Highrise safe.', '', ""Just tap the “Call” button in your private chat, and you're all set. The call interface will show who is speaking, and you can manage audio settings easily from there."", '', 'Click the call icon at the top of a 1:1 chat to send a call invite', ""When the other party joins, the icon will change to indicate they've joined the call"", '', ""Open a group chat, hit the “Call” button at the top, same as in a 1:1 chat, and start talking. You can invite others to the call by tapping 'Invite,' where you can add individuals to join the ongoing conversation."", '', ""Starting a crew call is just as simple. In your crew chat, tap on the “Call” button to connect with your entire crew at once. It's perfect for planning and executing your event strategies!"", '', 'All users over the age of 18 can enjoy Inbox Calls. It costs nothing to use and does not require any subscriptions.', '', ""Yes! You'll see a notification if someone calls you while you're inactive. If you don’t want to miss these notifications, make sure to turn on notifications in Settings!"", '', ""During any call, tap the 'Invite' button. Depending on your privacy settings and theirs, you can add friends—and friends of friends—to the call."", '', 'Tap the “•••” button during a call to adjust sound settings. You can also leave a call from this menu.', '', ""While on an inbox call, you can still listen to any room's voice chat to keep up with the conversation there. However, if you want to speak in the room's voice chat, you'll need to leave your Inbox Call. It’s easy—just a tap away to switch from personal to public chat spaces!"", '', '1:1 Personal Calls: Ideal for private, one-on-one conversations.', 'Group Calls: Great for chatting with multiple friends; perfect for socializing or coordinating activities.', 'Crew Calls: Keep your crew in the loop, perfect for group strategy sessions or just catching up.', ""If someone has invited you to join an active group call, you'll only get a notification you were already a member of that group chat beforehand. If you weren't, you won't get a notification, which will be sent to your Message Requests inbox. You can then navigate to your message requests and join the group call from there."", '', 'Jump into Inbox Calls and discover a fun, new way to communicate in Highrise. Whether you’re planning your next big event or just chatting with friends, Inbox Calls add that perfect personal touch. Ready, set, call! ', '', 'Here’s to clearer connections and exciting conversations in the world of Highrise. Happy chatting!', '']"
